Time,Time Code,Country Name,Country Code,"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]"
2015,YR2015,East Asia & Pacific,EAS,17.1,92.7118981551797
2015,YR2015,Europe & Central Asia,ECS,9.9,93.8504966498816
2015,YR2015,Latin America & Caribbean,LCN,18.3,92.6883241116121
2015,YR2015,Middle East & North Africa,MEA,24.2,86.5968447486384
2015,YR2015,South Asia,SAS,49.3,85.1694041800248
2015,YR2015,Sub-Saharan Africa,SSF,81.4,69.9345333628115
2015,YR2015,North America,NAC,6.7,91.8207376503517
2015,YR2015,World,WLD,41.9,84.7435476368385
2016,YR2016,East Asia & Pacific,EAS,16.4,92.8589824259534
2016,YR2016,Europe & Central Asia,ECS,9.4,93.4087708335512
2016,YR2016,Latin America & Caribbean,LCN,18.3,92.019784116441
2016,YR2016,Middle East & North Africa,MEA,23.6,89.0872939446389
2016,YR2016,South Asia,SAS,46.9,85.809091925755
2016,YR2016,Sub-Saharan Africa,SSF,78.3,69.3280557091504
2016,YR2016,North America,NAC,6.6,91.8207194686977
2016,YR2016,World,WLD,40.5,84.798003232561
2017,YR2017,East Asia & Pacific,EAS,15.8,93.0269723276246
2017,YR2017,Europe & Central Asia,ECS,9,95.0224316142099
2017,YR2017,Latin America & Caribbean,LCN,17.7,92.3224010863702
2017,YR2017,Middle East & North Africa,MEA,23.1,88.301957974945
2017,YR2017,South Asia,SAS,44.8,86.0673400859076
2017,YR2017,Sub-Saharan Africa,SSF,75.5,69.553651704968
2017,YR2017,North America,NAC,6.5,91.7336873033563
2017,YR2017,World,WLD,39.1,84.9622265334606
2018,YR2018,East Asia & Pacific,EAS,..,..
2018,YR2018,Europe & Central Asia,ECS,..,..
2018,YR2018,Latin America & Caribbean,LCN,..,..
2018,YR2018,Middle East & North Africa,MEA,..,..
2018,YR2018,South Asia,SAS,..,..
2018,YR2018,Sub-Saharan Africa,SSF,..,..
2018,YR2018,North America,NAC,..,..
2018,YR2018,World,WLD,..,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 06/28/2019,,,,,
